Complexity,Loss,Equation
1,33.60272,"2.3550541"
3,6.12818,"x0 * x0"
5,3.045492,"(x0 * x0) + -1.7558935"
7,3.0295734,"((x0 * x0) * 0.9776898) + -1.6640366"
8,1.118488,"(x0 * x0) + (cos(x3) + -1.8519869)"
10,1.8550415e-13,"((cos(x3) * 2.5382) + (x0 * x0)) + -2.0"
18,1.5176375e-13,"(((x4 * x0) * x0) * 1.0264839e-8) + (((cos(x3) * 2.5382) + -2.0) + (x0 * x0))"
20,1.4208162e-13,"(((x0 * (x4 * x0)) + -0.4311131) * 1.0264839e-8) + ((x0 * x0) + ((cos(x3) * 2.5382) + -2.0))"
21,1.3327187e-13,"((((x0 * x4) * x0) + exp(x0)) * 1.0264839e-8) + ((x0 * x0) + ((cos(x3) * 2.5382) + -2.0))"
25,1.2721948e-13,"((-2.5943525 + ((cos(x3) + 0.234163) * 2.5382)) + (x0 * x0)) + ((x0 * 1.0423938e-8) * ((exp(x0) * 0.16425258) + (x0 * x4)))"
27,1.2695196e-13,"((((cos(x3) + 0.234163) * 2.5382) + -2.5943525) + (x0 * x0)) + (((x0 * (exp(x0 + -1.8813754) + (x4 * x0))) + 0.84960496) * 1.0423938e-8)"
28,1.1780732e-13,"((((cos(x3) + 0.234163) * 2.5382) + -2.5943525) + (x0 * x0)) + (1.0423938e-8 * ((exp(cos(x3) + (x0 + -1.8813754)) + (x4 * x0)) * x0))"
